epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,731.797,0.75748,0.41708,0.90399,0.99914,1,0.995,0.80179,0.86747,0.40979,0.92723,0.0004358,0.0004358,0.0004358
81,740.852,0.75084,0.3998,0.8869,0.999,1,0.995,0.77915,0.94697,0.41886,0.94534,0.000416,0.000416,0.000416
82,749.91,0.72424,0.39706,0.88107,0.99867,1,0.995,0.78425,0.90887,0.39764,0.9386,0.0003962,0.0003962,0.0003962
83,759.104,0.78215,0.40358,0.88722,0.99919,1,0.995,0.78244,0.92932,0.40349,0.94967,0.0003764,0.0003764,0.0003764
84,768.362,0.75563,0.39251,0.89545,0.9867,1,0.99488,0.7959,0.91138,0.4028,0.92141,0.0003566,0.0003566,0.0003566
85,777.515,0.76479,0.39565,0.89131,0.99805,1,0.995,0.7876,0.90484,0.3986,0.92443,0.0003368,0.0003368,0.0003368
86,786.724,0.73827,0.39073,0.88606,0.99648,1,0.995,0.78798,0.90418,0.39188,0.92296,0.000317,0.000317,0.000317
87,796.035,0.72249,0.38496,0.88916,0.99605,1,0.995,0.7908,0.90755,0.39217,0.93169,0.0002972,0.0002972,0.0002972
88,805.402,0.75591,0.38898,0.88206,0.99454,1,0.995,0.7977,0.89345,0.39522,0.9316,0.0002774,0.0002774,0.0002774
89,814.85,0.74569,0.3846,0.88451,0.99204,1,0.995,0.78848,0.89974,0.3875,0.93214,0.0002576,0.0002576,0.0002576
90,824.464,0.73436,0.38563,0.88624,0.99634,1,0.995,0.79771,0.88919,0.38454,0.92003,0.0002378,0.0002378,0.0002378
91,834.334,0.72655,0.38173,0.91464,0.99833,1,0.995,0.78423,0.90009,0.40047,0.94457,0.000218,0.000218,0.000218
92,843.895,0.70632,0.36795,0.8847,0.99506,1,0.995,0.76899,0.9321,0.3946,0.94458,0.0001982,0.0001982,0.0001982
93,853.378,0.67451,0.36314,0.89371,0.99865,1,0.995,0.77971,0.896,0.39733,0.93079,0.0001784,0.0001784,0.0001784
94,862.843,0.68115,0.36714,0.89808,0.98678,1,0.99488,0.78732,0.88468,0.39229,0.92278,0.0001586,0.0001586,0.0001586
95,872.414,0.67823,0.36575,0.88634,0.98713,1,0.995,0.7893,0.90738,0.39004,0.92643,0.0001388,0.0001388,0.0001388
96,881.989,0.68412,0.36138,0.89955,0.99059,1,0.995,0.80316,0.88604,0.3955,0.9254,0.000119,0.000119,0.000119
97,891.576,0.65303,0.34812,0.88337,0.99447,1,0.995,0.79074,0.92857,0.39943,0.93662,9.92e-05,9.92e-05,9.92e-05
98,901.101,0.6544,0.3496,0.88855,0.98744,1,0.995,0.80529,0.89288,0.39362,0.92903,7.94e-05,7.94e-05,7.94e-05
99,910.659,0.66561,0.35727,0.88329,0.98724,1,0.995,0.80313,0.88053,0.39083,0.92779,5.96e-05,5.96e-05,5.96e-05
100,920.077,0.63614,0.34037,0.88429,0.98762,1,0.995,0.79623,0.88942,0.38928,0.92701,3.98e-05,3.98e-05,3.98e-05
